epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list
33,1.547050435069605,1.322245731280487,0.14986980257304847,0.21318993225962535,0.05824374035000801,0.5461133797837963,0.15425658226013184,0.000998657702997858,0.22016528248786926,0.5435596704483032,"[0.04795116186141968, 0.04705333709716797, 0.0478132963180542, 0.04801595211029053]"
34,1.5767867590518707,1.3527516710701846,0.14935672550900325,0.2262581075320845,0.03949957713484764,0.5633856200621973,0.1622650921344757,0.0009985751975992497,0.45039060711860657,0.5417764186859131,"[0.08711272478103638, 0.08653175830841064, 0.08759152889251709, 0.08644336462020874]"
35,1.526846643176203,1.315904437438816,0.140628135866589,0.2012093615354485,0.04670362547039986,0.5626089306851332,0.16426976025104523,0.000998490238863795,0.3034079074859619,0.42883265018463135,"[0.03464221954345703, 0.03450840711593628, 0.03405940532684326, 0.033916175365448]"
36,1.4782614214764138,1.2588350395220673,0.14628425557562647,0.2063176107693371,0.038087110966444016,0.5729282476600568,0.18596522510051727,0.000998402827630002,0.2682040333747864,0.36359477043151855,"[0.053737521171569824, 0.053285837173461914, 0.052915990352630615, 0.05311816930770874]"
37,1.4321522295615916,1.2158626821024199,0.1441930314750536,0.21376991601576,0.05625942349433899,0.5870733145951473,0.18268370628356934,0.000998312964760585,0.26600760221481323,0.3751091957092285,"[0.21693938970565796, 0.2166793942451477, 0.2178327441215515, 0.21773052215576172]"
38,1.3893872869352923,1.1784224870920745,0.1406431989325981,0.2273892738646575,0.06201311573386192,0.6063520764013807,0.2068273276090622,0.0009982206511424535,0.29809626936912537,0.3852847218513489,"[0.08691257238388062, 0.08658492565155029, 0.08625161647796631, 0.08621621131896973]"
39,1.3585391503276554,1.135165561880062,0.14891572462187874,0.1482745933273427,0.05378531292080879,0.6019471380771745,0.21562115848064423,0.0009981258876867061,0.18743449449539185,0.49742594361305237,"[0.03130471706390381, 0.030968666076660156, 0.031122267246246338, 0.031194031238555908]"
40,1.3926866441331012,1.1710215496960543,0.14777672805121042,0.19620479654846662,0.04186924174427986,0.5841103555772733,0.1913517713546753,0.0009980286753286196,0.10621905326843262,0.4120806157588959,"[0.06454813480377197, 0.06422901153564453, 0.06505763530731201, 0.06453597545623779]"
41,1.3267384981009978,1.1173055541853534,0.13962196324452159,0.12196975588120089,0.031016865745186806,0.6032852629182306,0.23948125541210175,0.0009979290150276409,0.10191763937473297,0.43219080567359924,"[0.12445127964019775, 0.12408971786499023, 0.12449914216995239, 0.12464594841003418]"
42,1.2839613359588822,1.0760105102902044,0.13863388528215123,0.16208871915393655,0.04113490507006645,0.6115705413702487,0.25382599234580994,0.0009978269077673767,0.15285320580005646,0.5087785124778748,"[0.020455598831176758, 0.021687567234039307, 0.021562516689300537, 0.020581841468811035]"
43,1.3576078164098393,1.1202324447761474,0.15825024655806538,0.1873466337181171,0.04338384047150612,0.6008029636691339,0.2097385674715042,0.0009977223545555847,0.11944717913866043,0.5226424336433411,"[0.10819888114929199, 0.10857468843460083, 0.10849785804748535, 0.10867953300476074]"
44,1.2822985670949831,1.0690317983886592,0.1421778450057298,0.17655303161217484,0.06108406186103821,0.6189197981672794,0.238298699259758,0.0009976153564241628,0.2585371434688568,0.5807481408119202,"[0.03519672155380249, 0.03538680076599121, 0.033922433853149414, 0.03394031524658203]"
45,1.2395157130615648,1.0163620798441253,0.1487690876843518,0.18243531255040207,0.04392777755856514,0.6294428296702443,0.2775896489620209,0.0009975059144291393,0.1265842169523239,0.5616958737373352,"[0.12404656410217285, 0.12395763397216797, 0.12256228923797607, 0.12247765064239502]"
46,1.3198728358491938,1.0945592034370342,0.1502090885565918,0.2189303673878482,0.04491185024380684,0.5936769495901965,0.21339233219623566,0.0009973940296506628,0.2166643887758255,0.5605049133300781,"[0.029666662216186523, 0.029294133186340332, 0.03066486120223999, 0.030313313007354736]"
47,1.3327584856368127,1.0995873696133318,0.15544741148080668,0.23785922271376236,0.054871875792741776,0.611041948771344,0.22157661616802216,0.0009972797031929904,0.1839572787284851,0.6070178151130676,"[0.04674553871154785, 0.0467146635055542, 0.04582744836807251, 0.04596775770187378]"
48,1.3108190778581246,1.080715798739846,0.1534021866659746,0.2177531191677611,0.0666712298989296,0.6141540321496144,0.2806020677089691,0.0009971629361844785,0.2068481594324112,0.49384021759033203,"[0.053744614124298096, 0.054496586322784424, 0.0543140172958374, 0.05391120910644531]"
